Designator,Footprint,Quantity,Value,LCSC Part #
"C103, C105, C107",0603,3,0.1uF,
"C104, C106",0603,2,10uF,
"C108, C110, C111",1206,3,100uF,
C109,0603,1,1uF,
"C112, C113",0603,2,10pF,
D101,0603,1,LED,
D102,D_SOD-123,1,1N4148W,
J102,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J103,HC-RF-IPEX0303-01,1,HC-RF-IPEX0303-01,HC-RF-IPEX0303-01
MK101,SX1278,1,SX1278,SX1278
Q101,SOT-23,1,MMBT3904,
Q102,SOT-23,1,MMBT3906,
"R101, R103, R104",0603,3,10K,
"R105, R107, R113",0603,3,100K,
R106,0603,1,1K,
R108,0603,1,22R,
"R109, R110, R114",0603,3,200K,
"R111, R112",0603,2,470K,
R115,0603,1,0R,
SW101,ST-1185S,1,ST-1185S,ST-1185S
"TP101, TP102, TP103, TP104, TP105, TP106",TestPoint_Loop_D2.50mm_Drill1.85mm,6,TestPoint,
"TP107, TP108",CR2450CONN+,2,TestPoint,
"TP109, TP110",CR2450CONN-,2,TestPoint,
U102,STM32G030K8T6,1,STM32G030K8T6,STM32G030K8T6
