Designator,Mid X,Mid Y,Rotation,Layer
C103,146.492,-92.63,0.0,top
C104,146.492,-94.09,0.0,top
C105,128.61,-82.17,0.0,top
C106,128.01,-79.91,90.0,top
C107,149.85,-94.235,0.0,top
C108,122.44,-83.06,180.0,top
C109,151.07,-99.64,0.0,top
C110,127.46,-84.4,0.0,top
C111,125.93,-80.72,90.0,top
C112,126.65,-72.7,180.0,top
C113,128.87,-70.06,180.0,top
D101,146.702,-97.25,0.0,top
D102,146.37,-100.07,180.0,top
J102,121.432,-97.8599997884187,30.0,top
J103,127.08,-76.0875,180.0,top
MK101,139.98,-77.24,180.0,top
Q101,130.17,-92.31,0.0,top
Q102,130.17,-98.04,180.0,top
R101,145.51,-88.99,180.0,top
R103,145.51,-90.68,0.0,top
R104,149.85,-92.66,0.0,top
R105,156.42,-92.58,270.0,top
R106,146.492,-95.55,0.0,top
R107,130.7,-88.16,270.0,top
R108,132.35,-88.16,270.0,top
R109,143.0,-100.91,270.0,top
R110,130.17,-95.04,180.0,top
R111,151.07,-97.81,0.0,top
R112,126.702,-97.88,0.0,top
R113,126.702,-99.51,180.0,top
R114,121.72,-84.94,180.0,top
R115,129.03,-72.29,90.0,top
SW101,153.44,-93.89,270.0,top
TP101,145.312,-105.97,0.0,top
TP102,150.442,-103.35,0.0,top
TP103,155.84,-88.12,0.0,top
TP104,120.84,-88.14,0.0,top
TP105,149.529646,-88.1,0.0,top
TP106,127.152,-88.11,0.0,top
U102,138.45,-94.1,90.0,top
